	TCGA-BT-A20N	TCGA-BT-A20Q
AAA1	0.0	0.0
AAAS	419.0726	601.5901
AACSL	0.0	0.0
AACS	343.832	307.4205
AADACL2	4.3745	7.9505
AADACL3	0.0	0.0
AADACL4	0.0	1.7668
AADAC	9.6238	1.7668
AADAT	134.7332	145.7597
AAGAB	735.783	756.1837
AAK1	915.1356	1047.7032
AAMP	2303.5871	2469.9647
AANAT	0.0	0.0
AARS2	342.9309	257.0671
AARSD1	1007.874	1219.9647
AARS	3432.196	4187.2792
AASDHPPT	481.1899	514.1343
AASDH	272.9659	210.2473
AASS	326.3342	187.2792
AATF	1244.9694	1619.258
AATK	131.2336	26.5018
ABAT	148.7314	92.7562
ABCA10	26.2467	24.735
ABCA11P	61.776	84.4346
ABCA12	0.0	0.0
ABCA13	0.0	0.0
ABCA17P	6.1242	1.7668
ABCA1	2919.5013	1909.894
ABCA2	832.021	1351.5901
ABCA3	658.7927	1199.6466
ABCA4	17.4978	5.3004
ABCA5	96.238	117.4912
ABCA6	348.2065	351.5901
ABCA7	55.993	29.1519
ABCA8	835.5206	539.7527
ABCA9	710.4112	590.9894
ABCB10	560.8049	585.689
ABCB11	0.8749	0.0
ABCB1	60.3675	29.1519
ABCB4	38.4952	93.6396
ABCB5	41.9948	27.3852
ABCB6	549.825	617.7385
ABCB7	435.6955	431.0954
ABCB8	448.8189	386.9258
ABCB9	30.035	46.2014
ABCC10	295.713	397.5265
ABCC11	0.0	0.0
ABCC12	0.0	0.0
ABCC13	0.0	0.0
ABCC1	1809.2738	1864.841
ABCC2	9.6238	27.3852
ABCC3	29.7463	8.8339
ABCC4	702.5372	1318.9046
ABCC5	363.0796	534.4523
ABCC6P1	0.0	0.0
ABCC6P2	1.7498	2.6502
ABCC6	3.4996	0.8834
ABCC8	6.9991	4.417
ABCC9	1181.1024	682.8622
ABCD1	800.5249	1000.0
ABCD2	122.4847	145.7597
ABCD3	910.7612	1023.8516
ABCD4	354.3307	404.5936
ABCE1	1249.3438	1030.0353
ABCF1	2177.6028	2189.9293
ABCF2	1379.7025	1361.3074
ABCF3	600.175	625.4417
ABCG1	550.3062	251.7668
ABCG2	27.9965	13.2509
ABCG4	0.8749	1.7668
ABCG5	1.7498	1.7668
ABCG8	0.0	0.0
ABHD10	353.4558	540.636
ABHD11	124.2345	189.0459
ABHD12B	1.7498	1.7668
ABHD12	605.4243	558.3039
ABHD13	405.9493	377.2085
ABHD14A	231.846	253.5336
ABHD14B	1286.9641	1106.0071
ABHD15	156.6054	197.8799
ABHD1	0.8749	4.417
ABHD2	2572.1785	1852.4735
ABHD3	98.8626	69.788
ABHD4	1119.86	1597.1731
ABHD5	706.9116	508.8339
ABHD6	233.5958	272.0848
ABHD8	215.2231	364.841
ABI1	1014.8731	1084.576
ABI2	2272.091	2320.6714
ABI3BP	3410.3237	3196.1131
ABI3	84.8644	37.1025
ABL1	9746.2817	8770.318
ABL2	1861.7673	572.4382
ABLIM1	3622.0472	5682.8622
ABLIM2	48.9939	45.9364
ABLIM3	1600.175	1971.7314
ABO	5.2493	3.5336
ABP1	0.8749	0.0
ABRA	169.7288	3.5336
ABR	1971.1286	3027.3852
ABT1	362.2047	462.0141
ABTB1	844.2695	1096.2898
ABTB2	166.2292	279.1519
ACAA1	608.9239	653.7102
ACAA2	1552.9309	2060.9541
ACACA	3075.2406	2726.1484
ACACB	2945.7568	3693.4629
ACAD10	354.3307	342.7562
ACAD11	311.4611	255.3004
ACAD8	404.1995	416.9611
ACAD9	719.1514	750.8834
ACADL	4.3745	7.9505
ACADM	1533.6833	1323.3216
ACADSB	955.3806	832.1555
ACADS	410.3237	704.0636
ACADVL	4757.6115	5120.9982
ACAN	23.622	17.6678
ACAP1	68.2415	11.4841
ACAP2	1141.7323	1127.2085
ACAP3	1003.4996	1295.053
ACAT1	2213.4733	2345.4064
ACAT2	219.2651	187.7208
ACBD3	958.8801	863.0742
ACBD4	342.0822	359.5406
ACBD5	453.1934	516.7845
ACBD6	411.1986	416.9611
ACBD7	0.8749	4.417
ACCN1	0.0	0.8834
ACCN2	223.0971	155.477
ACCN3	8.7489	6.1837
ACCN4	0.0	5.3004
ACCN5	0.0	0.0
ACCSL	0.0	0.0
ACCS	106.7367	128.0919
ACD	355.2056	440.8127
ACE2	7.874	6.1837
ACER1	0.8749	0.0
ACER2	32.371	27.3852
ACER3	313.2108	252.6502
ACE	222.2222	318.0212
ACHE	23.622	12.3675
ACIN1	3083.1146	3322.4382
ACLY	1963.2546	2316.2544
ACMSD	0.0	0.0
ACN9	145.2318	138.6926
ACO1	2196.8504	2479.682
ACO2	4606.5792	3890.7509
ACOT11	389.5363	124.0724
ACOT12	0.0	0.0
ACOT13	337.2091	478.2686
ACOT1	1159.2301	1181.0954
ACOT2	664.042	818.0212
ACOT4	13.1234	13.2509
ACOT6	1.7498	1.7668
ACOT7	480.315	699.6466
ACOT8	262.1347	321.8021
ACOT9	1083.1146	1363.0742
ACOX1	1466.3167	1565.371
ACOX2	419.0726	417.8445
ACOX3	749.7813	707.5972
ACOXL	0.0	0.8834
ACP1	902.0122	1110.424
ACP2	561.6798	544.1696
ACP5	510.0612	214.6643
ACP6	202.0997	107.7739
ACPL2	140.8574	162.5442
ACPP	8.7489	0.8834
ACPT	0.0	0.0
ACRBP	13.1234	9.7173
ACRC	6.9991	9.7173
ACRV1	0.0	0.8834
ACR	0.0	5.3004
ACSBG1	41.9948	58.3039
ACSBG2	0.0	1.7668
ACSF2	106.7367	136.9258
ACSF3	351.706	327.7385
ACSL1	2311.4611	2141.3428
ACSL3	1660.5424	1738.5159
ACSL4	2090.9886	1979.682
ACSL5	202.0997	125.4417
ACSL6	2.6247	3.5336
ACSM1	0.0	5.3004
ACSM2A	1.7498	0.8834
ACSM2B	0.8749	0.0
ACSM3	11.881	6.3074
ACSM4	0.0	0.0
ACSM5	40.245	10.6007
ACSS1	692.9134	674.0283
ACSS2	771.6535	754.417
ACSS3	66.4917	115.7244
ACTA1	298.3377	465.5477
ACTA2	162893.9895	230926.4841
ACTBL2	0.0	0.0
ACTB	286270.3412	327192.5795
ACTC1	54971.1286	81455.8304
ACTG1	44490.8136	30757.9505
ACTG2	228747.1566	367126.3251
ACTL6A	433.0709	518.5512
ACTL6B	0.8749	0.0
ACTL7A	0.0	0.0
ACTL7B	0.0	0.0
ACTL8	0.8749	0.0
ACTL9	0.0	0.0
ACTN1	39908.1365	52622.7915
ACTN2	1384.9519	2131.6254
ACTN3	2.6247	6.1837
ACTN4	20867.2878	28817.4382
ACTR10	1146.9816	1198.7633
ACTR1A	4576.5529	5297.7032
ACTR1B	1592.301	2310.9541
ACTR2	5153.1059	4926.6784
ACTR3B	69.9913	70.6714
ACTR3C	6.9991	4.417
ACTR3	4979.0026	5524.735
ACTR5	130.3587	147.5265
ACTR6	471.5661	453.1802
ACTR8	396.3255	449.6466
ACTRT1	0.8749	0.0
ACTRT2	0.0	0.0
ACVR1B	382.3272	306.5371
ACVR1C	33.2458	37.9859
ACVR1	1135.608	1174.0283
ACVR2A	496.063	343.6396
ACVR2B	169.7288	208.4806
ACVRL1	604.5494	709.364
ACY1	172.3535	153.7102
ACY3	1.7498	0.0
ACYP1	27.1216	32.6855
ACYP2	171.4786	165.1943
ADAD1	0.0	0.0
ADAD2	0.8749	0.0
ADAL	181.9773	190.8127
