	TCGA-BT-A20N	TCGA-BT-A20Q
AHSA1	2125.9843	2140.4594
AHSA2	178.4777	188.1625
AHSG	0.0	0.0
AHSP	0.0	0.8834
AICDA	0.8749	1.7668
AIDA	1715.6605	2057.447
AIF1L	341.2073	390.4594
AIF1	480.315	163.4276
AIFM1	830.2712	878.9753
AIFM2	620.2975	781.8021
AIFM3	4.3745	3.5336
AIG1	518.8101	481.4488
AIM1L	0.0	0.0
AIM1	108.4864	68.9046
AIM2	10.4987	1.7668
AIMP1	949.2563	1044.1696
AIMP2	367.7515	499.5053
AIPL1	0.0	0.8834
AIP	1278.2152	1352.4735
AIRE	0.0	0.0
AJAP1	3.4996	4.417
AK1	839.0201	1052.1201
AK2	1221.3473	1299.47
AK3L1	856.5179	864.841
AK3	2883.6395	2982.3322
AK5	30.6212	6.1837
AK7	5.2493	4.417
AKAP10	524.0595	491.1661
AKAP11	2823.2721	2765.9011
AKAP12	9905.5118	6263.2509
AKAP13	8165.3543	4465.5477
AKAP14	0.0	0.0
AKAP1	2952.7559	3589.2226
AKAP2	4788.8976	4410.5477
AKAP3	27.9965	28.2686
AKAP4	1.7498	0.0
AKAP5	52.4934	85.689
AKAP6	3560.8049	3367.4912
AKAP7	272.9659	283.5689
AKAP8L	753.2808	816.2544
AKAP8	603.6745	762.3675
AKAP9	1210.8486	684.629
AKD1	139.9825	166.0777
AKIRIN1	2322.8346	2234.9823
AKIRIN2	861.7673	664.311
AKNAD1	0.8749	1.7668
AKNA	643.9195	594.523
AKR1A1	935.2581	1119.258
AKR1B10	613.2983	1248.2332
AKR1B15	2.6247	15.9011
AKR1B1	1224.8469	1653.7102
AKR1C1	481.1899	578.6219
AKR1C2	486.4392	206.7138
AKR1C3	191.601	143.1095
AKR1C4	0.0	0.0
AKR1CL1	0.0	0.0
AKR1D1	0.0	0.0
AKR1E2	21.8723	23.8516
AKR7A2	548.5564	752.6502
AKR7A3	0.8749	2.6502
AKR7L	0.8749	1.7668
AKT1S1	879.2651	1070.6714
AKT1	5090.9886	5992.0495
AKT2	2557.3053	3200.53
AKT3	2961.5048	3347.1731
AKTIP	917.1129	1178.8604
ALAD	1730.5337	2081.2721
ALAS1	1174.9781	842.7562
ALAS2	3.4996	0.0
ALB	0.0	0.0
ALCAM	1800.5249	4088.3392
ALDH16A1	454.0682	435.5124
ALDH18A1	1105.8618	1076.8551
ALDH1A1	898.5127	441.6961
ALDH1A2	41.9948	126.3251
ALDH1A3	265.3718	194.7703
ALDH1B1	22843.3946	20151.0601
ALDH1L1	90.1137	97.1731
ALDH1L2	365.7043	585.689
ALDH2	9013.1234	7696.1131
ALDH3A1	6.1242	1.7668
ALDH3A2	1601.9248	2011.4841
ALDH3B1	361.3298	350.7067
ALDH3B2	0.0	3.5336
ALDH4A1	545.0569	528.2686
ALDH5A1	195.1006	231.4488
ALDH6A1	503.727	361.3781
ALDH7A1	1028.8714	1060.0707
ALDH8A1	27.1216	14.1343
ALDH9A1	2296.5879	2217.3145
ALDOA	22951.881	27447.8799
ALDOB	1.7498	2.6502
ALDOC	367.4541	500.0
ALG10B	142.6072	122.7915
ALG10	48.119	39.7527
ALG11	19.2476	18.5512
ALG12	417.3228	458.4806
ALG13	464.5669	317.1378
ALG14	74.3657	91.8728
ALG1L2	0.0	0.0
ALG1L	2.9484	9.6201
ALG1	285.6168	361.2633
ALG2	373.5783	414.311
ALG3	450.5687	608.6572
ALG5	412.0735	391.3428
ALG6	86.6142	68.0212
ALG8	277.3403	310.0707
ALG9	1428.6964	686.3958
ALKBH1	179.3526	182.8622
ALKBH2	203.8495	223.4982
ALKBH3	279.965	303.8869
ALKBH4	97.979	241.7049
ALKBH5	3131.1199	3852.4735
ALKBH6	129.4838	100.7067
ALKBH7	568.6789	591.8728
ALKBH8	242.3447	250.0
ALK	11.3736	5.3004
ALLC	1.7498	0.8834
ALMS1P	0.0	0.8834
ALMS1	857.3928	943.4629
ALOX12B	0.0	0.0
ALOX12P2	0.0	0.8834
ALOX12	6.1242	4.4435
ALOX15B	0.0	0.0
ALOX15	0.0	1.7668
ALOX5AP	237.0954	154.5936
ALOX5	265.9668	120.1413
ALOXE3	2.6247	0.0
ALPI	0.0	0.0
ALPK1	413.8233	231.4488
ALPK2	24.4969	15.0177
ALPK3	1543.3071	1696.9965
ALPL	104.112	83.9223
ALPPL2	0.0	0.0
ALPP	0.0	0.0
ALS2CL	228.3465	237.6325
ALS2CR11	6.1242	4.417
ALS2CR12	7.874	2.6502
ALS2CR4	475.9405	738.5159
ALS2CR8	174.9781	178.4452
ALS2	545.0569	543.2862
ALX1	3.4996	7.9505
ALX3	8.7489	43.2862
ALX4	0.0	0.8834
AMAC1L2	0.8749	0.8834
AMAC1L3	0.8749	0.0
AMAC1	0.0	0.0
AMACR	252.8434	529.1519
AMBN	0.0	0.0
AMBP	0.8749	0.8834
AMBRA1	769.0289	852.4735
AMD1	2414.6982	1521.2014
AMDHD1	8.7489	9.7173
AMDHD2	154.8556	147.5795
AMELX	0.0	0.0
AMELY	0.0	0.0
AMFR	2228.3465	2372.7915
AMHR2	4.3745	1.7668
AMH	0.8749	0.0
AMICA1	170.6037	26.5018
AMIGO1	156.6054	189.0459
AMIGO2	3189.8425	416.9611
AMIGO3	26.2467	48.5866
AMMECR1L	663.1671	501.7668
AMMECR1	260.7174	117.4912
